AUDIO TEMPORAL HEATMAP — Late Fusion — audio sub-model (handcrafted)
Window: 0.5s  Step: 0.1s  Windows: 43

Time (s)     P(fake)    Label
------------------------------------
0.25         1.0000     FAKE
0.35         0.8962     FAKE
0.45         0.9653     FAKE
0.55         0.9685     FAKE
0.65         0.9447     FAKE
0.75         0.9539     FAKE
0.85         0.9814     FAKE
0.95         0.9876     FAKE
1.05         0.9759     FAKE
1.15         0.9856     FAKE
1.25         0.9546     FAKE
1.35         0.9701     FAKE
1.45         0.9499     FAKE
1.55         0.9781     FAKE
1.65         0.9811     FAKE
1.75         0.9853     FAKE
1.85         1.0000     FAKE
1.95         0.9999     FAKE
2.05         0.9932     FAKE
2.15         0.9850     FAKE
2.25         0.9990     FAKE
2.35         0.9993     FAKE
2.45         0.9996     FAKE
2.55         1.0000     FAKE
2.65         1.0000     FAKE
2.75         1.0000     FAKE
2.85         0.9991     FAKE
2.95         0.9997     FAKE
3.05         0.9947     FAKE
3.15         0.9983     FAKE
3.25         0.9880     FAKE
3.35         0.9966     FAKE
3.45         0.9812     FAKE
3.55         0.9930     FAKE
3.65         0.9971     FAKE
3.75         0.9926     FAKE
3.85         0.9572     FAKE
3.95         0.9903     FAKE
4.05         0.9983     FAKE
4.15         0.9979     FAKE
4.25         0.9526     FAKE
4.35         0.9781     FAKE
4.45         0.9826     FAKE
