AUDIO TEMPORAL HEATMAP — Audio-only (wav2vec2)
Window: 0.5s  Step: 0.1s  Windows: 98

Time (s)     P(fake)    Label
------------------------------------
0.25         0.9943     FAKE
0.35         0.9603     FAKE
0.45         0.9159     FAKE
0.55         0.9989     FAKE
0.65         0.5204     FAKE
0.75         0.2750     real
0.85         0.8592     FAKE
0.95         0.9994     FAKE
1.05         0.4541     real
1.15         0.9680     FAKE
1.25         0.9962     FAKE
1.35         0.7121     FAKE
1.45         0.8349     FAKE
1.55         0.9901     FAKE
1.65         0.9526     FAKE
1.75         0.9985     FAKE
1.85         0.9878     FAKE
1.95         0.9971     FAKE
2.05         0.8981     FAKE
2.15         0.9868     FAKE
2.25         0.9572     FAKE
2.35         0.9998     FAKE
2.45         0.9976     FAKE
2.55         0.8202     FAKE
2.65         0.9816     FAKE
2.75         0.5799     FAKE
2.85         0.9758     FAKE
2.95         0.9798     FAKE
3.05         0.9206     FAKE
3.15         0.9315     FAKE
3.25         0.7273     FAKE
3.35         0.9927     FAKE
3.45         0.0974     real
3.55         0.4293     real
3.65         0.3488     real
3.75         0.1246     real
3.85         0.3283     real
3.95         0.9998     FAKE
4.05         0.9125     FAKE
4.15         0.9986     FAKE
4.25         0.9890     FAKE
4.35         0.9870     FAKE
4.45         0.9978     FAKE
4.55         0.9964     FAKE
4.65         0.9689     FAKE
4.75         0.9935     FAKE
4.85         0.9870     FAKE
4.95         0.9997     FAKE
5.05         0.9993     FAKE
5.15         0.9891     FAKE
5.25         0.9865     FAKE
5.35         0.9952     FAKE
5.45         0.9981     FAKE
5.55         0.9842     FAKE
5.65         0.9951     FAKE
5.75         0.9970     FAKE
5.85         0.9912     FAKE
5.95         0.9238     FAKE
6.05         0.9982     FAKE
6.15         0.9950     FAKE
6.25         0.9991     FAKE
6.35         0.9998     FAKE
6.45         0.9999     FAKE
6.55         0.9978     FAKE
6.65         0.9897     FAKE
6.75         0.9751     FAKE
6.85         0.9619     FAKE
6.95         0.9721     FAKE
7.05         0.8826     FAKE
7.15         0.9671     FAKE
7.25         0.9806     FAKE
7.35         0.5366     FAKE
7.45         0.5358     FAKE
7.55         0.9221     FAKE
7.65         0.9887     FAKE
7.75         0.9870     FAKE
7.85         0.9796     FAKE
7.95         0.9977     FAKE
8.05         0.9963     FAKE
8.15         0.9810     FAKE
8.25         0.9823     FAKE
8.35         0.9732     FAKE
8.45         0.5431     FAKE
8.55         0.5475     FAKE
8.65         0.9229     FAKE
8.75         0.9801     FAKE
8.85         0.9993     FAKE
8.95         0.9812     FAKE
9.05         0.9390     FAKE
9.15         0.9994     FAKE
9.25         0.9998     FAKE
9.35         0.6072     FAKE
9.45         0.9564     FAKE
9.55         0.5106     FAKE
9.65         0.9936     FAKE
9.75         0.9986     FAKE
9.85         0.9871     FAKE
9.95         0.9995     FAKE
