AUDIO TEMPORAL HEATMAP — Early Fusion audio (handcrafted) — visual fixed
Window: 0.5s  Step: 0.1s  Windows: 98

Time (s)     P(fake)    Label
------------------------------------
0.25         0.2751     real
0.35         0.2271     real
0.45         0.7880     FAKE
0.55         0.8453     FAKE
0.65         0.5971     FAKE
0.75         0.8537     FAKE
0.85         0.5751     FAKE
0.95         0.9441     FAKE
1.05         0.9502     FAKE
1.15         0.9626     FAKE
1.25         0.9419     FAKE
1.35         0.9650     FAKE
1.45         0.9702     FAKE
1.55         0.9394     FAKE
1.65         0.9820     FAKE
1.75         0.9849     FAKE
1.85         0.8032     FAKE
1.95         0.9363     FAKE
2.05         0.7783     FAKE
2.15         0.8492     FAKE
2.25         0.7848     FAKE
2.35         0.7393     FAKE
2.45         0.8860     FAKE
2.55         0.9412     FAKE
2.65         0.9847     FAKE
2.75         0.9896     FAKE
2.85         0.7551     FAKE
2.95         0.6059     FAKE
3.05         0.6803     FAKE
3.15         0.6820     FAKE
3.25         0.6652     FAKE
3.35         0.6722     FAKE
3.45         0.6890     FAKE
3.55         0.7781     FAKE
3.65         0.6917     FAKE
3.75         0.9757     FAKE
3.85         0.9703     FAKE
3.95         0.9305     FAKE
4.05         0.8798     FAKE
4.15         0.9377     FAKE
4.25         0.2088     real
4.35         0.2670     real
4.45         0.2942     real
4.55         0.3968     real
4.65         0.6790     FAKE
4.75         0.7669     FAKE
4.85         0.7575     FAKE
4.95         0.8092     FAKE
5.05         0.8786     FAKE
5.15         0.9740     FAKE
5.25         0.9858     FAKE
5.35         0.9833     FAKE
5.45         0.9784     FAKE
5.55         0.9831     FAKE
5.65         0.9829     FAKE
5.75         0.7478     FAKE
5.85         0.7952     FAKE
5.95         0.7352     FAKE
6.05         0.7354     FAKE
6.15         0.9608     FAKE
6.25         0.9196     FAKE
6.35         0.9743     FAKE
6.45         0.9903     FAKE
6.55         0.9770     FAKE
6.65         0.9685     FAKE
6.75         0.8448     FAKE
6.85         0.6707     FAKE
6.95         0.4011     real
7.05         0.6677     FAKE
7.15         0.5704     FAKE
7.25         0.4962     real
7.35         0.5061     FAKE
7.45         0.5225     FAKE
7.55         0.4797     real
7.65         0.1571     real
7.75         0.2159     real
7.85         0.2240     real
7.95         0.2526     real
8.05         0.3085     real
8.15         0.6699     FAKE
8.25         0.8308     FAKE
8.35         0.7324     FAKE
8.45         0.7999     FAKE
8.55         0.8313     FAKE
8.65         0.7675     FAKE
8.75         0.5609     FAKE
8.85         0.9613     FAKE
8.95         0.8755     FAKE
9.05         0.9141     FAKE
9.15         0.9055     FAKE
9.25         0.9198     FAKE
9.35         0.8468     FAKE
9.45         0.7556     FAKE
9.55         0.7748     FAKE
9.65         0.8797     FAKE
9.75         0.7489     FAKE
9.85         0.7730     FAKE
9.95         0.5578     FAKE
