AUDIO TEMPORAL HEATMAP — Late Fusion — audio sub-model (handcrafted)
Window: 0.5s  Step: 0.1s  Windows: 98

Time (s)     P(fake)    Label
------------------------------------
0.25         0.7841     FAKE
0.35         0.7641     FAKE
0.45         0.8006     FAKE
0.55         0.8539     FAKE
0.65         0.6205     FAKE
0.75         0.6205     FAKE
0.85         0.4417     real
0.95         0.5370     FAKE
1.05         0.6294     FAKE
1.15         0.7887     FAKE
1.25         0.8240     FAKE
1.35         0.7882     FAKE
1.45         0.9280     FAKE
1.55         0.9029     FAKE
1.65         0.9606     FAKE
1.75         0.9255     FAKE
1.85         0.5444     FAKE
1.95         0.8438     FAKE
2.05         0.6655     FAKE
2.15         0.5760     FAKE
2.25         0.6237     FAKE
2.35         0.3598     real
2.45         0.8056     FAKE
2.55         0.7909     FAKE
2.65         0.9398     FAKE
2.75         0.9449     FAKE
2.85         0.9495     FAKE
2.95         0.8690     FAKE
3.05         0.8570     FAKE
3.15         0.6568     FAKE
3.25         0.6498     FAKE
3.35         0.8327     FAKE
3.45         0.8697     FAKE
3.55         0.9670     FAKE
3.65         0.9521     FAKE
3.75         0.9167     FAKE
3.85         0.9473     FAKE
3.95         0.9061     FAKE
4.05         0.8154     FAKE
4.15         0.9639     FAKE
4.25         0.9549     FAKE
4.35         0.9417     FAKE
4.45         0.9267     FAKE
4.55         0.9750     FAKE
4.65         0.8325     FAKE
4.75         0.8850     FAKE
4.85         0.9154     FAKE
4.95         0.9119     FAKE
5.05         0.7478     FAKE
5.15         0.9505     FAKE
5.25         0.8960     FAKE
5.35         0.8378     FAKE
5.45         0.7695     FAKE
5.55         0.7879     FAKE
5.65         0.8858     FAKE
5.75         0.8181     FAKE
5.85         0.8839     FAKE
5.95         0.9179     FAKE
6.05         0.9198     FAKE
6.15         0.6671     FAKE
6.25         0.5252     FAKE
6.35         0.6080     FAKE
6.45         0.6667     FAKE
6.55         0.4201     real
6.65         0.6981     FAKE
6.75         0.6131     FAKE
6.85         0.5117     FAKE
6.95         0.9489     FAKE
7.05         0.9687     FAKE
7.15         0.8887     FAKE
7.25         0.8890     FAKE
7.35         0.8836     FAKE
7.45         0.8683     FAKE
7.55         0.8802     FAKE
7.65         0.6875     FAKE
7.75         0.9468     FAKE
7.85         0.8686     FAKE
7.95         0.8951     FAKE
8.05         0.9507     FAKE
8.15         0.9133     FAKE
8.25         0.8813     FAKE
8.35         0.8772     FAKE
8.45         0.8886     FAKE
8.55         0.9384     FAKE
8.65         0.8916     FAKE
8.75         0.8771     FAKE
8.85         0.9271     FAKE
8.95         0.8346     FAKE
9.05         0.8407     FAKE
9.15         0.7406     FAKE
9.25         0.7694     FAKE
9.35         0.6150     FAKE
9.45         0.6694     FAKE
9.55         0.6404     FAKE
9.65         0.7813     FAKE
9.75         0.7450     FAKE
9.85         0.7346     FAKE
9.95         0.8598     FAKE
